customerID,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
9680-NIAUV,Fiber optic,1,1,1,0,1,1
2604-IJPDU,Fiber optic,1,1,0,1,1,0
6168-YBYNP,Fiber optic,0,1,1,1,1,1
7255-SSFBC,Fiber optic,0,1,1,1,1,1
9323-HGFWY,Fiber optic,1,0,0,1,1,1
8544-GOQSH,Fiber optic,0,1,0,1,0,0
3363-DTIVD,Fiber optic,1,0,1,0,1,1
7018-WBJNK,Fiber optic,0,0,0,0,1,0
9142-KZXOP,Fiber optic,0,0,0,0,0,0
7674-YTAFD,Fiber optic,0,1,0,1,0,0
6348-SNFUS,DSL,1,1,1,1,0,1
1285-OKIPP,Fiber optic,0,0,0,0,0,1
7825-ECJRF,Fiber optic,1,0,1,1,1,1
1347-KTTTA,Fiber optic,0,1,1,1,1,1
7841-TZDMQ,DSL,0,0,0,0,0,0
4195-NZGTA,DSL,0,0,0,0,0,0
2504-DSHIH,Fiber optic,0,0,0,0,0,1
0699-NDKJM,DSL,1,1,1,0,1,1
9286-BHDQG,DSL,1,1,1,1,0,0
0230-WEQUW,DSL,1,1,1,1,1,0
2040-LDIWQ,DSL,0,1,1,1,1,1
6496-JDSSB,Fiber optic,0,0,0,0,1,0
9408-SSNVZ,Fiber optic,0,0,0,0,0,0
0742-MOABM,DSL,0,0,0,1,0,0
6778-JFCMK,DSL,1,0,0,0,1,1
6341-JVQGF,DSL,1,0,1,1,1,1
2232-DMLXU,DSL,0,0,0,0,1,0
4811-JBUVU,Fiber optic,0,0,0,1,0,1
0945-TSONX,DSL,1,1,0,1,1,1
2651-ZCBXV,Fiber optic,1,1,0,1,1,1
3316-UWXUY,Fiber optic,1,1,0,1,0,1
8937-RDTHP,Fiber optic,1,0,0,0,0,1
1251-KRREG,DSL,0,1,0,0,0,0
0621-JFHOL,DSL,0,0,0,1,0,0
9903-LYSAB,Fiber optic,0,0,0,0,0,0
0094-OIFMO,Fiber optic,0,1,0,0,1,1
7301-ABVAD,DSL,0,1,1,1,1,1
6614-FHDBO,Fiber optic,0,1,1,1,1,1
7576-ASEJU,DSL,1,0,0,1,1,1
9058-HRZSV,Fiber optic,1,1,1,0,0,1
4522-AKYLR,DSL,0,1,1,0,0,0
0221-WMXNQ,Fiber optic,1,0,0,0,0,0
0303-UNCIP,DSL,0,0,1,0,0,1
9947-OTFQU,Fiber optic,0,1,0,0,0,0
0322-YINQP,DSL,1,0,0,0,0,0
0959-WHOKV,Fiber optic,1,1,1,0,0,1
4075-JFPGR,Fiber optic,1,1,1,0,1,0
4629-NRXKX,Fiber optic,0,0,0,0,0,0
9514-JDSKI,DSL,0,1,0,0,1,0
3282-ZISZV,DSL,0,1,1,1,1,1
4111-BNXIF,DSL,0,1,1,1,1,1
7017-VFHAY,Fiber optic,1,1,1,1,1,1
6655-LHBYW,Fiber optic,1,1,1,1,1,1
4959-JOSRX,DSL,0,0,0,0,0,0
5046-NUHWD,DSL,1,0,1,0,0,1
7273-TEFQD,DSL,0,0,1,0,0,1
3606-TWKGI,Fiber optic,0,1,1,0,1,1
7529-ZDFXI,Fiber optic,0,1,0,0,0,1
7605-BDWDC,DSL,1,1,0,1,0,1
1950-KSVVJ,Fiber optic,1,1,1,1,1,1
0123-CRBRT,DSL,1,1,1,1,1,1
3197-ARFOY,Fiber optic,1,1,0,1,1,1
4385-GZQXV,Fiber optic,0,0,0,1,1,1
7633-MVPUY,DSL,1,1,0,1,0,0
6366-ZGQGL,DSL,0,0,0,0,0,0
4716-HHKQH,Fiber optic,0,1,0,1,1,1
5940-AHUHD,Fiber optic,0,0,0,0,0,0
6432-TWQLB,Fiber optic,0,1,0,1,0,0
4484-GLZOU,Fiber optic,0,1,1,0,1,1
3179-GBRWV,DSL,1,1,0,0,0,1
8645-KWHJO,DSL,0,0,1,1,1,1
4130-MZLCC,DSL,0,1,0,0,0,0
0314-TKOSI,DSL,1,1,0,0,0,0
8229-MYEJZ,DSL,0,1,0,0,0,0
9577-WJVCQ,DSL,1,0,0,0,0,0
9512-UIBFX,Fiber optic,0,0,1,0,1,1
6202-DYYFX,Fiber optic,0,0,0,0,0,0
3808-HFKDE,DSL,0,0,0,0,0,0
5583-SXDAG,Fiber optic,0,0,0,0,0,0
3488-PGMQJ,Fiber optic,0,1,0,0,0,0
3580-REOAC,DSL,0,0,0,0,0,0
7534-BFESC,Fiber optic,0,0,0,0,0,0
3727-OWVYD,DSL,1,1,1,0,0,0
2294-SALNE,Fiber optic,0,1,1,1,0,0
4847-TAJYI,Fiber optic,0,0,0,0,1,1
6556-DBKZF,Fiber optic,0,0,1,0,0,0
6851-WEFYX,Fiber optic,0,0,1,0,1,1
2985-JUUBZ,DSL,0,0,1,0,1,1
6390-DSAZX,Fiber optic,1,0,0,0,0,0
0895-LMRSF,DSL,0,0,0,0,1,1
8098-LLAZX,Fiber optic,0,0,0,0,1,1
8266-VBFQL,Fiber optic,0,0,1,1,0,1
8181-YHCMF,DSL,0,1,1,1,1,1
2240-HSJQD,Fiber optic,0,1,0,0,0,0
0265-EDXBD,Fiber optic,0,0,0,0,0,0
4115-BNPJY,DSL,0,0,1,1,1,1
3167-SNQPL,Fiber optic,0,1,0,0,1,1
4091-TVOCN,DSL,1,0,1,0,1,1
7277-OZCGZ,Fiber optic,1,0,0,1,0,1
1557-EMYVT,Fiber optic,1,1,1,1,1,1
2799-ARNLO,Fiber optic,0,0,0,0,0,0
7563-BIUPC,Fiber optic,0,0,0,0,1,0
5027-YOCXN,Fiber optic,1,1,0,1,1,1
2321-OMBXY,DSL,1,1,0,1,1,1
2840-XANRC,Fiber optic,0,0,1,0,1,1
6745-JEFZB,Fiber optic,0,0,0,1,1,0
5020-ZSTTY,DSL,1,1,0,1,1,1
9880-TDQAC,DSL,0,1,1,1,1,1
8705-WZCYL,DSL,0,0,0,0,0,0
7102-JJVTX,DSL,1,0,0,0,0,0
8626-PTQGE,DSL,1,1,0,1,1,1
4983-CLMLV,Fiber optic,0,1,0,1,1,1
5701-YVSVF,Fiber optic,0,0,0,1,1,0
5804-LEPIM,Fiber optic,0,0,0,0,0,0
5697-GOMBF,DSL,0,0,0,0,1,0
2739-CACDQ,Fiber optic,0,0,1,0,0,0
2379-GYFLQ,Fiber optic,0,1,1,0,1,0
0122-OAHPZ,Fiber optic,0,0,0,0,0,0
2868-SNELZ,Fiber optic,0,0,1,0,0,0
4322-RCYMT,DSL,0,1,1,1,0,1
6680-NENYN,Fiber optic,0,1,1,0,1,1
2088-IEBAU,DSL,1,1,1,1,1,1
7982-VCELR,Fiber optic,0,1,0,0,1,1
1343-EHPYB,Fiber optic,0,1,1,0,1,1
6035-BXTTY,DSL,0,1,0,1,0,0
6885-PKOAM,DSL,1,1,1,1,1,1
7520-HQWJU,DSL,1,1,1,0,0,0
0021-IKXGC,Fiber optic,0,0,0,0,0,0
2034-GDRCN,Fiber optic,0,0,0,0,1,1
6243-OZGFH,DSL,0,0,0,0,1,1
4654-DLAMQ,Fiber optic,1,1,1,0,0,1
0513-RBGPE,DSL,1,0,1,1,0,0
5160-UXJED,DSL,0,0,0,0,0,0
4115-NZRKS,Fiber optic,0,0,0,0,1,1
0219-YTZUE,Fiber optic,0,1,1,0,0,0
0623-IIHUG,DSL,1,0,0,0,1,0
4572-DVCGN,Fiber optic,0,0,0,0,0,1
3351-NGXYI,DSL,1,0,0,0,0,0
8984-EYLLL,Fiber optic,0,1,0,1,1,1
9057-MSWCO,DSL,1,0,0,0,0,0
9833-TGFHX,Fiber optic,1,0,0,0,1,1
5229-DTFYB,Fiber optic,0,1,0,1,1,1
0104-PPXDV,DSL,0,0,1,0,0,0
3583-KRKMD,Fiber optic,0,0,0,1,0,0
1010-DIAUQ,Fiber optic,0,0,1,0,1,1
9069-LGEUL,DSL,1,0,0,0,0,1
9571-EDEBV,Fiber optic,0,0,1,0,1,1
3520-FJGCV,Fiber optic,1,1,1,1,1,1
0259-GBZSH,Fiber optic,0,0,0,0,1,0
6122-EFVKN,DSL,1,0,0,1,0,0
2805-EDJPQ,Fiber optic,0,1,1,1,0,1
6862-CQUMB,Fiber optic,0,1,0,0,1,1
7156-MXBJE,DSL,0,1,1,1,1,1
6158-HDPXZ,DSL,0,0,0,0,0,0
9601-BRXPO,Fiber optic,0,0,1,1,1,1
2863-IMQDR,DSL,1,1,1,1,1,1
5686-CMAWK,Fiber optic,0,0,1,1,0,0
5651-CRHKQ,Fiber optic,0,1,1,1,0,0
6905-NIQIN,DSL,0,1,0,0,0,0
8204-YJCLA,DSL,1,1,1,1,1,1
5167-ZFFMM,Fiber optic,0,1,0,0,0,1
6583-SZVGP,Fiber optic,0,1,1,0,1,1
0533-BNWKF,Fiber optic,0,1,1,0,0,0
1708-PBBOA,DSL,1,1,1,1,0,1
8782-LKFPK,Fiber optic,0,0,1,0,0,1
5522-JBWMO,DSL,0,0,0,0,0,0
3597-MVHJT,Fiber optic,0,0,0,0,1,1
9774-NRNAU,DSL,0,1,1,1,1,1
0224-RLWWD,DSL,0,0,0,0,0,0
3951-NJCVI,Fiber optic,0,0,0,0,1,1
2977-CEBSX,DSL,1,1,1,1,1,1
0177-PXBAT,Fiber optic,1,0,1,1,1,1
6599-CEBNN,Fiber optic,0,1,0,0,0,0
2519-ERQOJ,DSL,0,0,1,1,1,1
0979-PHULV,Fiber optic,0,0,1,0,1,1
3067-SVMTC,DSL,1,0,0,1,0,0
4742-DRORA,Fiber optic,1,0,1,0,1,0
0111-KLBQG,Fiber optic,0,1,0,0,1,1
0334-GDDSO,Fiber optic,0,1,0,0,0,0
5233-AOZUF,Fiber optic,0,0,0,0,0,0
5973-EJGDP,Fiber optic,0,1,1,1,0,0
1996-DBMUS,Fiber optic,0,0,0,0,0,0
7916-VCCPB,Fiber optic,0,1,0,0,0,0
4686-GEFRM,Fiber optic,0,1,1,1,0,1
0578-SKVMF,Fiber optic,0,1,0,0,0,1
5564-NEMQO,Fiber optic,0,0,1,0,0,0
5605-IYGFG,Fiber optic,0,0,0,0,0,0
7663-ZTEGJ,Fiber optic,0,1,1,1,0,1
8111-BKVDS,DSL,1,1,1,0,0,0
2055-SIFSS,DSL,0,0,0,0,0,0
2806-MLNTI,Fiber optic,0,1,1,0,1,1
8734-DKSTZ,Fiber optic,0,0,0,0,0,1
4360-PNRQB,Fiber optic,0,0,0,0,0,0
6152-ONASV,DSL,1,0,0,1,0,0
7781-HVGMK,DSL,1,1,1,1,1,1
2181-UAESM,DSL,1,0,1,0,0,0
2957-LOLHO,DSL,0,0,0,0,0,0
2320-SLKMB,DSL,0,0,1,1,1,0
4376-KFVRS,Fiber optic,1,1,1,1,1,1
5886-VLQVU,Fiber optic,0,0,0,1,0,1
3577-AMVUX,DSL,0,0,1,1,0,0
0771-WLCLA,Fiber optic,1,0,1,1,1,1
5628-RKIFK,Fiber optic,1,0,0,0,1,1
0206-TBWLC,Fiber optic,1,1,1,1,1,1
2937-FTHUR,DSL,1,0,0,0,0,1
1910-FMXJM,Fiber optic,0,0,0,0,0,1
7752-XUSCI,Fiber optic,0,1,1,0,1,1
4110-PFEUZ,Fiber optic,0,0,0,0,0,0
5168-MSWXT,Fiber optic,0,0,1,0,1,1
1090-ESELR,Fiber optic,1,1,0,1,1,1
5760-WRAHC,DSL,1,0,1,1,0,1
8847-GEOOQ,DSL,0,1,1,1,1,1
0256-LTHVJ,Fiber optic,0,0,0,0,0,1
8313-NDOIA,Fiber optic,0,1,1,0,1,1
5149-CUZUJ,Fiber optic,0,1,1,1,1,0
0942-KOWSM,DSL,0,1,1,1,1,1
1452-VOQCH,Fiber optic,0,0,0,0,0,0
6614-VBEGU,DSL,0,1,0,0,1,1
0880-TKATG,Fiber optic,0,0,1,0,1,1
3811-VBYBZ,Fiber optic,0,1,0,0,1,1
1480-BKXGA,Fiber optic,1,1,1,1,1,1
2996-XAUVF,DSL,0,0,0,1,0,1
9076-AXYIK,Fiber optic,0,0,1,1,1,1
5968-XQIVE,Fiber optic,0,1,0,0,1,0
4640-UHDOS,DSL,0,0,0,0,0,1
3583-EKAPL,DSL,0,0,0,0,0,1
1304-BCCFO,DSL,0,0,1,0,1,1
4104-PVRPS,DSL,1,0,0,1,0,0
9399-APLBT,Fiber optic,0,1,0,0,0,0
2359-KMGLI,Fiber optic,0,1,0,0,0,0
3780-DDGSE,DSL,0,1,0,1,1,1
4431-EDMIQ,DSL,1,1,1,1,1,0
0306-JAELE,Fiber optic,0,0,0,1,1,1
6227-HWPWX,Fiber optic,0,0,0,0,0,0
0447-BEMNG,DSL,1,0,1,0,0,1
4612-SSVHJ,Fiber optic,0,0,0,0,0,1
5168-MQQCA,Fiber optic,0,1,1,1,1,1
5949-XIKAE,Fiber optic,0,1,0,0,1,0
7971-HLVXI,Fiber optic,0,0,0,0,0,1
9094-AZPHK,Fiber optic,0,1,0,0,1,1
3649-JPUGY,DSL,0,1,1,1,1,1
4472-LVYGI,DSL,1,0,1,1,1,0
8372-JUXUI,Fiber optic,0,0,0,0,0,0
3552-CTCYF,Fiber optic,0,1,1,0,1,1
6778-YSNIH,DSL,0,1,0,0,1,0
0388-EOPEX,Fiber optic,1,0,0,0,0,0
5756-OZRIO,DSL,0,1,0,0,0,1
8205-OTCHB,DSL,0,1,1,0,0,1
4134-BSXLX,DSL,1,1,0,1,0,0
6235-VDHOM,DSL,0,1,0,0,0,0
7783-YKGDV,Fiber optic,1,1,1,0,0,1
4374-YMUSQ,Fiber optic,1,1,1,1,1,1
4513-CXYIX,Fiber optic,1,0,0,0,0,0
3957-HHLMR,DSL,1,0,0,0,0,1
7803-XOCCZ,Fiber optic,1,0,1,1,0,0
5736-YEJAX,DSL,1,1,1,1,1,0
5609-CEBID,Fiber optic,0,1,1,0,0,1
8981-FJGLA,Fiber optic,0,0,1,0,0,0
7218-HKQFK,Fiber optic,0,0,0,1,1,1
4636-QRJKY,Fiber optic,0,0,0,1,0,0
4332-MUOEZ,Fiber optic,1,0,1,1,0,1
8535-SFUTN,Fiber optic,1,0,1,0,1,1
5956-VKDTT,Fiber optic,0,0,0,0,0,0
8677-HDZEE,Fiber optic,0,1,0,1,1,1
2475-MROZF,Fiber optic,1,1,1,1,0,0
9412-GHEEC,Fiber optic,0,0,1,1,1,1
3482-ABPKK,DSL,1,0,0,1,0,0
6705-LXORM,Fiber optic,0,0,0,0,0,0
0257-ZESQC,Fiber optic,1,0,0,0,0,0
5174-ITUMV,Fiber optic,0,1,1,0,1,1
4109-CYRBD,DSL,0,0,0,0,0,0
0913-XWSCN,Fiber optic,0,0,0,0,0,1
6825-UYPFK,Fiber optic,0,0,0,0,0,0
8397-MVTAZ,Fiber optic,0,0,1,0,1,1
0750-EBAIU,Fiber optic,1,0,1,0,1,0
8606-CIQUL,Fiber optic,1,1,1,1,1,1
3571-DPYUH,Fiber optic,0,1,0,1,1,0
0356-OBMAC,Fiber optic,0,1,1,1,1,0
4234-XTNEA,Fiber optic,0,0,0,0,1,0
1297-VQDRP,Fiber optic,0,0,1,1,1,1
9282-IZGQK,Fiber optic,0,0,0,0,0,1
5348-CAGXB,Fiber optic,0,0,1,0,1,0
0621-HJWXJ,Fiber optic,0,1,0,0,0,0
5844-QVTAT,DSL,1,1,1,0,0,0
8905-IAZPF,Fiber optic,0,1,0,0,1,1
5394-MEITZ,DSL,0,1,1,1,1,1
6859-QNXIQ,Fiber optic,1,1,1,1,1,1
2782-LFZVW,DSL,0,0,0,0,0,1
1342-JPNKI,Fiber optic,0,0,0,0,1,0
2817-NTQDO,DSL,1,0,0,1,1,0
7129-AZJDE,Fiber optic,0,0,0,0,0,1
6986-IJDHX,Fiber optic,0,1,0,0,1,0
2560-PPCHE,Fiber optic,0,1,0,1,1,1
4676-MQUEA,Fiber optic,1,1,1,0,1,0
3580-HYCSP,Fiber optic,1,1,1,0,1,1
1352-HNSAW,Fiber optic,1,1,1,1,1,1
5301-GAUUY,Fiber optic,0,1,0,0,0,0
5791-KAJFD,DSL,1,0,1,0,0,1
1154-HYWWO,DSL,1,1,0,1,1,0
2501-XWWTZ,Fiber optic,0,0,0,0,0,0
3716-UVSPD,DSL,0,0,0,1,0,0
6815-ABQFQ,Fiber optic,0,1,0,1,1,1
3701-SFMUH,DSL,1,0,0,0,1,1
6103-LIANB,Fiber optic,0,0,1,0,1,1
7319-VENRZ,DSL,0,0,1,1,1,0
5846-NEQVZ,DSL,1,0,1,1,0,1
6967-QIQRV,Fiber optic,1,0,0,1,1,1
5781-RFZRP,DSL,1,1,0,1,1,0
0939-YAPAF,Fiber optic,0,0,1,0,1,1
0308-IVGOK,DSL,0,1,1,1,0,0
7025-WCBNE,DSL,0,1,0,1,0,0
5756-JYOJT,DSL,0,0,1,1,0,1
4710-FDUIZ,Fiber optic,0,1,0,0,1,1
6030-REHUX,Fiber optic,0,1,1,1,1,1
9548-LIGTA,DSL,1,1,0,1,1,1
5150-LJNSR,Fiber optic,1,0,1,0,1,0
8270-RKSAP,Fiber optic,0,0,0,0,0,0
6522-YRBXD,Fiber optic,1,1,0,0,0,1
3627-FHKBK,Fiber optic,1,0,0,0,0,0
2865-TCHJW,Fiber optic,0,0,1,0,1,0
5192-EBGOV,Fiber optic,0,0,0,0,1,0
4568-KNYWR,DSL,1,1,0,0,1,0
0742-LAFQK,Fiber optic,1,1,1,0,0,1
0795-LAFGP,DSL,1,1,1,1,1,1
0619-OLYUR,Fiber optic,1,0,1,1,1,1
0459-SPZHJ,DSL,1,1,1,0,1,1
0215-BQKGS,Fiber optic,1,1,1,0,0,0
9244-ZVAPM,DSL,0,0,0,0,0,0
0719-SYFRB,DSL,1,0,1,1,0,0
8208-EUMTE,DSL,1,1,1,1,1,0
5172-MIGPM,DSL,0,0,0,1,0,1
1710-RCXUS,Fiber optic,0,1,0,0,0,1
5839-SUYVZ,Fiber optic,0,0,0,1,0,0
1096-ADRUX,Fiber optic,0,0,0,0,0,0
2001-MCUUW,Fiber optic,0,1,1,1,1,1
2731-GJRDG,Fiber optic,1,0,1,1,1,1
4723-BEGSG,DSL,1,0,1,1,1,1
6516-NKQBO,DSL,1,0,1,1,1,1
8672-OAUPW,DSL,0,0,0,1,0,0
8207-DMRVL,Fiber optic,1,1,1,1,1,1
3419-SNJJD,Fiber optic,1,0,1,0,1,1
6543-CPZMK,DSL,0,1,0,0,0,0
4765-OXPPD,DSL,1,1,1,1,0,0
6689-VRRTK,Fiber optic,1,1,1,0,1,1
7138-GIRSH,DSL,0,0,1,1,0,1
9396-ZSFLL,DSL,0,0,0,0,0,0
6464-KEXXH,DSL,0,0,0,0,0,0
7134-MJPDY,Fiber optic,0,0,1,1,1,1
5240-CAOYT,Fiber optic,1,1,0,1,0,0
4059-IIEBK,Fiber optic,0,1,0,0,0,0
4881-JVQOD,DSL,0,0,0,0,0,1
0516-UXRMT,Fiber optic,1,1,1,0,0,0
4851-BQDNX,Fiber optic,0,0,1,0,1,0
3003-CMDUU,Fiber optic,0,0,0,1,1,1
5016-IBERQ,Fiber optic,0,1,1,0,0,0
6797-UCJHZ,Fiber optic,0,1,1,0,1,1
2469-DTSGX,Fiber optic,0,1,1,1,1,1
4554-YGZIH,Fiber optic,0,1,0,0,0,1
5099-BAILX,Fiber optic,0,1,1,1,1,1
9931-KGHOA,DSL,1,0,0,0,0,0
1775-KWJKQ,DSL,1,1,1,1,1,1
9411-TPQQV,DSL,1,0,0,1,1,1
7207-RMRDB,Fiber optic,0,1,1,0,1,1
7954-MLBUN,Fiber optic,0,0,1,1,1,1
2077-DDHJK,DSL,1,1,1,1,0,0
